,SC_het,SC_iso,UCLD_het,UCLD_iso,BF_SC,BF_UCLD,,
heterochronous_bounds_1,-5112.665749,-5225.630284,-5115.463804,-5180.504896,112.964535,65.041092,,
heterochronous_bounds_2,-5119.63853,-5242.695222,-5122.223376,-5190.010276,123.056692,67.7869,,
heterochronous_bounds_3,-4606.670636,-4741.629678,-4609.842743,-4686.346662,134.959042,76.503919,,
heterochronous_bounds_4,-4307.595778,-4439.81425,-4310.522966,-4382.06705,132.218472,71.544084,,
heterochronous_bounds_5,-5343.218303,-5465.028429,-5347.12835,-5424.988991,121.810126,77.860641,,
heterochronous_bounds_6,-5885.090916,-6012.823188,-5888.473423,-5960.43058,127.732272,71.957157,,
heterochronous_bounds_7,-5955.346808,-6056.009646,-5959.219042,-6026.792588,100.662838,67.573546,,
heterochronous_bounds_8,-5297.813468,-5419.517325,-5301.440686,-5376.471992,121.703857,75.031306,,
heterochronous_bounds_9,-5443.437016,-5553.732148,-5447.124409,-5515.249316,110.295132,68.124907,het_bounds_SC,het_bounds_UCLD
heterochronous_bounds_10,-5881.135748,-5982.581729,-5885.142608,-5950.287313,101.445981,65.144705,10,10
heterochronous_unbound_1,-5110.809356,-5225.630284,-5114.244427,-5180.504896,114.820928,66.260469,,
heterochronous_unbound_2,-5118.136363,-5242.695222,-5120.425574,-5190.010276,124.558859,69.584702,,
heterochronous_unbound_3,-4604.795095,-4741.629678,-4608.107422,-4686.346662,136.834583,78.23924,,
heterochronous_unbound_4,-4305.699461,-4439.81425,-4309.264313,-4382.06705,134.114789,72.802737,,
heterochronous_unbound_5,-5341.918662,-5465.028429,-5345.491333,-5424.988991,123.109767,79.497658,,
heterochronous_unbound_6,-5883.918975,-6012.823188,-5887.844924,-5960.43058,128.904213,72.585656,,
heterochronous_unbound_7,-5954.363685,-6056.009646,-5958.037926,-6026.792588,101.645961,68.754662,,
heterochronous_unbound_8,-5296.505364,-5419.517325,-5299.949468,-5376.471992,123.011961,76.522524,,
heterochronous_unbound_9,-5442.556349,-5553.732148,-5445.582429,-5515.249316,111.175799,69.666887,het_unbound_SC,het_unbound_UCLD
heterochronous_unbound_10,-5880.008889,-5982.581729,-5882.770558,-5950.287313,102.57284,67.516755,10,10
ultrametric_bounds_1,-3779.522725,-3732.239437,-3764.48622,-3736.007224,-47.283288,-28.478996,,
ultrametric_bounds_2,-3957.271063,-3918.442064,-3949.926018,-3922.264175,-38.828999,-27.661843,,
ultrametric_bounds_3,-3879.526535,-3846.389178,-3877.248405,-3849.930765,-33.137357,-27.31764,,
ultrametric_bounds_4,-4331.684038,-4212.420232,-4257.845875,-4216.381674,-119.263806,-41.464201,,
ultrametric_bounds_5,-3768.826854,-3702.435295,-3731.198959,-3704.579087,-66.391559,-26.619872,,
ultrametric_bounds_6,-4142.085308,-4046.796369,-4083.363705,-4050.180757,-95.288939,-33.182948,,
ultrametric_bounds_7,-4462.268023,-4287.246756,-4322.004929,-4289.763558,-175.021267,-32.241371,,
ultrametric_bounds_8,-3794.250393,-3685.508263,-3716.45681,-3688.484532,-108.74213,-27.972278,,
ultrametric_bounds_9,-4896.393248,-4708.101986,-4746.439524,-4711.956539,-188.291262,-34.482985,iso_bounds_SC,iso_bounds_UCLD
ultrametric_bounds_10,-3370.693744,-3342.650703,-3372.975546,-3346.111766,-28.043041,-26.86378,0,0
ultrametric_unbound_1,-3736.088346,-3732.239437,-3743.79063,-3736.007224,-3.848909,-7.783406,,
ultrametric_unbound_2,-3923.072619,-3918.442064,-3930.928414,-3922.264175,-4.630555,-8.664239,,
ultrametric_unbound_3,-3849.73748,-3846.389178,-3858.473667,-3849.930765,-3.348302,-8.542902,,
ultrametric_unbound_4,-4219.187069,-4212.420232,-4227.723183,-4216.381674,-6.766837,-11.341509,,
ultrametric_unbound_5,-3707.816389,-3702.435295,-3714.564671,-3704.579087,-5.381094,-9.985584,,
ultrametric_unbound_6,-4052.385851,-4046.796369,-4060.376474,-4050.180757,-5.589482,-10.195717,,
ultrametric_unbound_7,-4293.319149,-4287.246756,-4300.393165,-4289.763558,-6.072393,-10.629607,,
ultrametric_unbound_8,-3688.284961,-3685.508263,-3696.69174,-3688.484532,-2.776698,-8.207208,,
ultrametric_unbound_9,-4713.224586,-4708.101986,-4721.47152,-4711.956539,-5.1226,-9.514981,iso_unbound_SC,iso_unbound_UCLD
ultrametric_unbound_10,-3346.67796,-3342.650703,-3354.786644,-3346.111766,-4.027257,-8.674878,0,0
